CountryCode,CountryName,RegiónBM,Región,Bloque_RTA,Population,OMCmemberdummy,OMCdetailed,GTCEcrono,GTCEmemberx2,GTCEm1,GTCEm2,GTCEm3,GTCE70vs20,GTCE77vs13,REGPOLx4,REGPOLx2,ECOMx2nva,ECOMx2,EGOV2020x2,EGOV2020x3,EGOV2020x4,EGOV_muyAltoD,EGOV_AltoD,EGOVindex2020,EGOV20Log,EGOVordx4original,EGOVordx16original,INCOMEx4,INCOMEx2,Densidadx2,Densidadx3,Densidadx4,DensidadMediaBaja_DUM,DensidadMediaAlta_DUM,DensidadAlta_DUM,DensidadMenor,DensidadMayor,RTA#,ecRTA#,Red_ecRTA_1almenos,Red_ecRTAx3ok,Red_RTAx3ok,Red_RTA_altaDUM,Red_ecRTA_altaDUM,Red_ecRTAx4,Red_RTAx4,Red_ecRTAx2ok,Red_RTAx2ok,moratoria_alcanceOK,moratoria_extensiónOK,transferencias,reglamentación,impuestos,desarrollo,localización_de_datos,enfoque,NDOCSGTCEind,NDOCSGTCEconj,filter_$INTEGRADO,filter_$ecRTAcat1,filter_$,filter_$OMC,filter_$MODrealistaBIS,filter_$MODrealistaMinimal,filter_$MODintegrado,filter_$SERVERS,filter_$INCOME,filter_$EGOV,filter_$ECOM,filter_$REG,filter_$M3
LAO,Lao PDR,7,7,7,6758353,1,2,0,1,1,1,1,1,1,1,0,1,0,0,2,0,0,0,.3288,-.483068191131987,2,6,2,0,0,1,1,0,0,0,1,0,9,1,1,1,1,1,0,1,2,0,1, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,1
LVA,Latvia,2,2,1,1959537,1,2,0,1,1,1,1,1,1,4,1,2,1,1,0,2,0,1,.7798,-.108016769148033,4,13,4,1,1,3,4,0,0,1,0,1,46,17,1,2,2,1,1,3,3,1,1,7,6, , ,2,1,0, , , ,1,0,0,1,1,1,1,1,1,1,1,1,1
LSO,Lesotho,4,4,16,2203821,1,2,3,0,0,0,0,0,0,3,1,1,0,0,2,1,0,0,.4593,-.337903554582077,2,8,2,0,0,1,2,1,0,0,1,0,7,0,0,0,1,1,0,0,2,0,1,1,5,1,1,0,2,0, ,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
LBR,Liberia,4,4,22,4613823,1,2,3,0,0,0,0,0,0,3,1,1,0,0,2,0,0,0,.2605,-.584192272364457,2,5,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,2,0, ,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
LIE,Liechtenstein,2,2,23,37666,1,2,0,1,1,1,1,1,1,0, , , ,1,0,3,1,0,.8359,-.0778456747689412,4,14,4,1, , , , , , , , ,30,5,1,2,2,1,1,2,3,1,1, , , , , , , , , , , ,1,0,1,1, , , ,1,1,0,0,1
LTU,Lithuania,2,2,1,2868231,1,2,0,1,1,1,1,1,1,3,1,2,1,1,0,3,1,0,.8665,-.0622314329500642,4,15,4,1,1,3,4,0,0,1,0,1,46,17,1,2,2,1,1,3,3,1,1,7,6, , ,2,1,0, ,4,4,1,0,0,1,1,1,1,1,1,1,1,1,1
LUX,Luxembourg,2,2,1,582014,1,2,0,1,1,1,1,1,1,0, ,2,1,1,0,3,1,0,.8272,-.0823894742501327,4,14,4,1,1,3,4,0,0,1,0,1,46,17,1,2,2,1,1,3,3,1,1,7,6, , ,2,1,0, ,4,4,1,0,0,1,1,1,1,1,1,1,1,0,1
MAC,"Macao SAR, China",7,7,8,612167,1,2,3,0,0,0,0,0,0,0, , , , , , , , , , , , ,4,1, , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , ,1,0,1,1, ,0, ,1, ,0,0,0
MDG,Madagascar,4,4,16,24894551,1,2,3,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,.3095,-.509339346643863,2,5,1,0,0,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,5,1,1,0,2,0, ,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0
MWI,Malawi,4,4,16,18091575,1,2,3,0,0,0,0,0,0,3,1,1,0,0,2,0,0,0,.348,-.458420756053419,2,6,1,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,2,0, ,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
MYS,Malaysia,7,7,7,31187265,1,2,0,1,1,1,1,1,1,2,0,2,1,1,0,2,0,1,.7892,-.102812923419846,4,13,3,1,1,3,3,0,1,0,0,1,15,4,1,2,2,1,0,2,2,1,1, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,1
MDV,Maldives,1,1,15,427756,1,2,3,0,0,0,0,0,0,2,0, , ,0,1,1,0,0,.574,-.241088107602027,3,10,3,1, , , , , , , , ,2,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , ,1,0,1,1, , , ,1,1,0,1,0
MLI,Mali,4,4,22,17994837,1,2,3,0,0,0,0,0,0,3,1,1,0,0,2,0,0,0,.3097,-.509058794643213,2,6,1,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,2,0, ,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
MLT,Malta,3,3,1,455356,1,2,0,1,1,1,1,1,1,0, ,2,1,1,0,3,1,0,.8547,-.0681862960408607,4,15,4,1,1,3,3,0,1,0,0,1,46,17,1,2,2,1,1,3,3,1,1,7,6, , ,2,1,2, , , ,1,0,0,1,1,1,1,1,1,1,1,0,1
MHL,Marshall Islands,7,7,30,53066,1,2,3,0,0,0,0,0,0,0, , , ,0,2,0,0,0,.4055,-.392009141452825,2,7,3,1, , , , , , , , ,1,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , ,0,1,0,1,1,0,0,0,1,1,0,0,0
MRT,Mauritania,4,4,8,4301018,1,2,3,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,.282,-.549750891680639,2,5,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , ,1,1,0,1,1,1,0,1,1,1,1,1,0
MUS,Mauritius,4,4,16,1263473,1,2,2,1,0,0,1,2,2,3,1,2,1,1,1,2,0,1,.7196,-.142908845326486,3,12,3,1,0,2,3,0,1,0,1,0,8,2,1,1,1,1,0,1,2,0,1, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,0
MEX,Mexico,5,5,2,127540423,1,2,0,1,1,1,1,1,1,3,1,1,0,1,1,2,0,1,.7291,-.137212901764656,3,12,3,1,0,2,2,1,0,0,1,0,23,6,1,2,2,1,1,2,3,1,1,5,0, , ,0,2,0, ,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
MDA,Moldova,2,2,13, ,1,2,0,1,1,1,1,1,1,3, , , , , , , , ,.6881,-.162348442153608, ,11,3,1,1,2,3,0,1,0,0,1,9,3,1,1,1,1,0,2,2,1,1, , , , , , , , , , ,1,1,0,1,1,1,1,1,1, , , ,1
MNG,Mongolia,7,7,8,3027398,1,2,1,1,0,1,1,2,1,3,1,2,1,0,1,1,0,0,.6497,-.187287133234631,3,11,2,0,1,2,3,0,1,0,0,1,1,1,1,1,0,0,0,1,0,0,0, , , , , , , , , , ,1,1,0,1,1,1,0,1,1,1,1,1,1
MNE,Montenegro,7,7,13,622303,1,2,0,1,1,1,1,1,1,2,0,1,0,1,1,2,0,1,.7006,-.154529867018326,3,11,3,1,1,2,3,0,1,0,0,1,5,1,1,1,1,0,0,1,1,0,0, , , , ,0,2,0, , , ,1,1,0,1,1,1,1,1,1,1,1,1,1
MAR,Morocco,3,3,26,35276786,1,2,3,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,.5729,-.241921177750387,3,10,2,0,0,2,2,1,0,0,1,0,9,1,1,1,1,1,0,1,2,0,1,1,5,1,1,0,2,0, ,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
MOZ,Mozambique,4,4,19,28829476,1,2,3,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,.3564,-.448062304635163,2,6,1,0,0,1,1,0,0,0,1,0,4,0,0,0,1,0,0,0,1,0,0, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,0
MMR,Myanmar,7,7,7,52885223,1,2,0,1,1,1,1,1,1,2,0,1,0,0,2,0,0,0,.4316,-.364918563989127,2,7,2,0,0,1,1,0,0,0,1,0,8,1,1,1,1,1,0,1,2,0,1, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,1
NAM,Namibia,4,4,19,2479713,1,2,3,0,0,0,0,0,0,4,1,1,0,0,1,1,0,0,.5747,-.240558802866302,3,10,3,1,0,2,2,1,0,0,1,0,7,0,0,0,1,1,0,0,2,0,1,1,5,1,1,0,2,0, ,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
NPL,Nepal,1,1,15,28982771,1,2,3,0,0,0,0,0,0,3,1,1,0,0,2,1,0,0,.4699,-.327994554977048,2,8,2,0,0,2,2,1,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,0
NLD,Netherlands,2,2,1,17030314,1,2,0,1,1,1,1,1,1,4,1,2,1,1,0,3,1,0,.9228,-.0348924141509442,4,16,4,1,1,3,4,0,0,1,0,1,46,17,1,2,2,1,1,3,3,1,1,7,6, , ,2,1,2, ,4,4,1,0,0,1,1,1,1,1,1,1,1,1,1
NZL,New Zealand,7,7,14,4693200,1,2,0,1,1,1,1,1,1,4,1,2,1,1,0,3,1,0,.9339,-.0296996245978223,4,16,4,1,1,3,4,0,0,1,0,1,13,6,1,2,2,1,1,2,2,1,1,7,6, , ,2,1,0,2,5,5,1,1,0,1,1,1,1,1,1,1,1,1,1
NIC,Nicaragua,5,5,6,6149928,1,2,1,1,0,1,1,2,1,2,0,1,0,0,2,1,0,0,.5139,-.289121382314827,3,9,2,0,0,1,2,1,0,0,1,0,11,4,1,2,1,1,0,2,2,1,1, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,1
NER,Niger,4,4,22,20672987,1,2,3,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,.1661,-.779630367548605,1,3,1,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,2,0, ,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
NGA,Nigeria,4,4,22,185989640,1,2,0,1,1,1,1,1,1,3,1,1,0,0,2,0,0,0,.4406,-.355955507185251,2,8,2,0,0,1,2,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,2,0, ,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
MKD,North Macedonia,2,2,13,2081206,1,2,0,1,1,1,1,1,1,3,1,2,1,1,1,2,0,1,.7083,-.149782758201611,3,12,3,1,1,2,3,0,1,0,0,1,6,1,1,1,1,0,0,1,1,0,0, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,1
NOR,Norway,2,2,23,5234519,1,2,0,1,1,1,1,1,1,4,1,2,1,1,0,3,1,0,.9064,-.0426801031446592,4,16,4,1,1,3,4,0,0,1,0,1,32,5,1,2,2,1,1,2,3,1,1, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,1
OMN,Oman,3,3,25,4424762,1,2,2,1,0,0,1,2,2,1,0,2,1,1,0,2,0,1,.7749,-.11075433910702,4,13,4,1,0,2,2,1,0,0,1,0,4,3,1,1,1,0,0,2,1,1,0, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,0
PAK,Pakistan,1,1,15,193203476,1,2,3,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,.4183,-.37851213541937,2,7,2,0,0,1,2,1,0,0,1,0,10,0,0,0,1,1,0,0,2,0,1, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,0
PAN,Panama,5,5,6,4034119,1,2,0,1,1,1,1,1,1,3,1,1,0,1,1,2,0,1,.6715,-.172953982995266,3,11,3,1,1,2,3,0,1,0,0,1,18,6,1,2,2,1,1,2,3,1,1, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,1
PNG,Papua New Guinea,7,7,28,8084991,1,2,3,0,0,0,0,0,0,2,0, , ,0,2,0,0,0,.2827,-.54867419151048,2,5,2,0, , , , , , , , ,6,0,0,0,1,0,0,0,1,0,0, , , , , , , , , , , ,1,0,1,1, , , ,1,1,0,1,0
PRY,Paraguay,5,5,4,6725308,1,2,0,1,1,1,1,1,1,3,1,1,0,0,1,1,0,0,.6487,-.187956102069773,3,10,3,1,0,2,2,1,0,0,1,0,8,0,0,0,1,1,0,0,2,0,1, , , , , , , , ,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1
PER,Peru,5,5,5,31773839,1,2,0,1,1,1,1,1,1,3,1,1,0,1,1,2,0,1,.7083,-.149782758201611,3,12,3,1,0,2,2,1,0,0,1,0,20,10,1,2,2,1,1,3,3,1,1,5,0, , ,0,2,0, ,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
PHL,Philippines,7,7,7,103320222,1,2,2,1,0,0,1,2,2,3,1,1,0,1,1,2,0,1,.6892,-.161654731224009,3,11,2,0,0,1,2,1,0,0,1,0,11,2,1,1,1,1,0,1,2,0,1,0,0, , ,0,2,0, , , ,1,1,0,1,1,1,1,1,1,1,1,1,1
POL,Poland,2,2,1,37970087,1,2,0,1,1,1,1,1,1,3,1,2,1,1,0,3,1,0,.8531,-.0690000580438479,4,15,4,1,1,3,4,0,0,1,0,1,46,17,1,2,2,1,1,3,3,1,1,7,6, , ,2,1,2, , , ,1,0,0,1,1,1,1,1,1,1,1,1,1
PRT,Portugal,2,2,1,10325452,1,2,0,1,1,1,1,1,1,4,1,2,1,1,0,3,1,0,.8255,-.0832829224011876,4,14,4,1,1,3,4,0,0,1,0,1,46,17,1,2,2,1,1,3,3,1,1,7,6, , ,2,1,2, ,4,4,1,0,0,1,1,1,1,1,1,1,1,1,1
QAT,Qatar,3,3,25,2569804,1,2,0,1,1,1,1,1,1,1,0,2,1,1,1,2,0,1,.7173,-.144299169164563,3,12,4,1,0,2,3,0,1,0,1,0,3,2,1,1,0,0,0,1,1,0,0, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,1
ROU,Romania,2,2,1,19702332,1,2,0,1,1,1,1,1,1,3,1,2,1,1,1,2,0,1,.7605,-.118900781610983,4,13,3,1,1,3,4,0,0,1,0,1,46,17,1,2,2,1,1,3,3,1,1,7,6, , ,2,1,2, ,4,4,1,0,0,1,1,1,1,1,1,1,1,1,1
RUS,Russian Federation,2,2,18,144342396,1,2,0,1,1,1,1,1,1,2,0,2,1,1,0,3,1,0,.8244,-.0838620168928247,4,14,3,1,1,3,3,0,1,0,0,1,12,3,1,1,1,1,0,2,2,1,1,3,4, , ,0,1,0, ,2,2,1,1,0,1,1,1,1,1,1,1,1,1,1
RWA,Rwanda,4,4,16,11917508,1,2,3,0,0,0,0,0,0,2,0,1,0,0,2,1,0,0,.4789,-.319755162957392,2,8,1,0,0,1,2,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,2,0, , , ,1,1,0,1,1,1,1,1,1,1,1,1,0
WSM,Samoa,7,7,28,195125,1,2,3,0,0,0,0,0,0,0, , , ,0,2,0,0,0,.4219,-.374790474618119,2,7,2,0, , , , , , , , ,5,0,0,0,1,0,0,0,1,0,0, , , , , , , , , , , ,1,0,1,1, , , ,1,1,0,0,0
SAU,Saudi Arabia,3,3,25,32275687,1,2,3,0,0,0,0,0,0,1,0,2,1,1,0,2,0,1,.7991,-.0973988693334687,4,14,4,1,0,2,2,1,0,0,1,0,3,2,1,1,0,0,0,1,1,0,0, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,0
SEN,Senegal,4,4,22,15411614,1,2,3,0,0,0,0,0,0,3,1,1,0,0,2,0,0,0,.421,-.375717904164332,2,7,2,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,2,0, ,0,2,1,1,0,1,1,1,1,1,1,1,1,1,0
SYC,Seychelles,4,4,16,94677,1,2,3,0,0,0,0,0,0,3,1, , ,1,1,2,0,1,.692,-.159893905543242,3,11,4,1, , , , , , , , ,3,1,1,1,0,0,0,1,1,0,0, , , , , , , , ,0, , ,1,0,1,1, , , ,1,1,0,1,0
SLE,Sierra Leone,4,4,22,7396190,1,2,3,0,0,0,0,0,0,3,1,1,0,0,2,0,0,0,.2931,-.532984181561564,2,5,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,2,0, , , ,1,1,0,1,1,1,1,1,1,1,1,1,0
SGP,Singapore,7,7,7,5607283,1,2,0,1,1,1,1,1,1,2,0,2,1,1,0,3,1,0,.915,-.0385789059335517,4,16,4,1,1,3,4,0,0,1,0,1,27,17,1,2,2,1,1,3,3,1,1,7,6, , ,0,2,2, ,3,3,1,0,0,1,1,1,1,1,1,1,1,1,1
SVK,Slovak Republic,2,2,1,5430798,1,2,0,1,1,1,1,1,1,3,1,2,1,1,0,2,0,1,.7817, ,4,13,4,1,1,3,4,0,0,1,0,1,46,17,1,2,2,1,1,3,3,1,1,7,6, , ,2,1,2, ,4,4,1,0,0,1,1,1,1,1,1,1,1,1,1
SVN,Slovenia,2,2,1,2065042,1,2,0,1,1,1,1,1,1,4,1,2,1,1,0,3,1,0,.8546,-.0682371115188223,4,15,4,1,1,3,4,0,0,1,0,1,46,17,1,2,2,1,1,3,3,1,1,7,6, , ,2,1,2, ,4,4,1,0,0,1,1,1,1,1,1,1,1,1,1
SLB,Solomon Islands,7,7,28,599419,1,2,3,0,0,0,0,0,0,3,1, , ,0,2,0,0,0,.3442,-.463189134008459,2,6,2,0, , , , , , , , ,6,0,0,0,1,0,0,0,1,0,0, , , , , , , , , , , ,1,0,1,1, , , ,1,1,0,1,0
ZAF,South Africa,4,4,19,56015473,1,2,3,0,0,0,0,0,0,3,1,2,1,1,1,2,0,1,.6891,-.161717750085311,3,11,3,1,1,3,4,0,0,1,0,0,7,0,0,0,1,1,0,0,2,0,1,2,2,1,1,5,2,0, , , ,1,1,0,1,1,1,1,1,1,1,1,1,0
ESP,Spain,2,2,1,46484062,1,2,0,1,1,1,1,1,1,4,1,2,1,1,0,3,1,0,.8801,-.0554679790080189,4,15,4,1,1,3,4,0,0,1,0,1,46,17,1,2,2,1,1,3,3,1,1,7,6, , ,2,1,2, ,4,4,1,0,0,1,1,1,1,1,1,1,1,1,1
LKA,Sri Lanka,1,1,15,21203000,1,2,3,0,0,0,0,0,0,3,1,1,0,1,1,2,0,1,.6708,-.173406946065952,3,11,2,0,0,2,2,1,0,0,1,0,6,0,0,0,1,0,0,0,1,0,0, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,0
KNA,St. Kitts and Nevis,5,8,10,54821,1,2,3,0,0,0,0,0,0,0, , , ,0,1,1,0,0,.6352, ,3,10,4,1, , , , , , , , ,3,3,1,1,0,0,0,2,1,1,0, , , , , , , , , , , ,1,0,1,1, , , ,1,1,0,0,0
LCA,St. Lucia,5,8,10,178015,1,2,3,0,0,0,0,0,0,0, , , ,0,1,1,0,0,.5444, ,3,9,3,1, , , , , , , , ,3,3,1,1,0,0,0,2,1,1,0, , , , , , , , , , , ,1,0,1,1, , , ,1,1,0,0,0
VCT,St. Vincent and the Grenadines,5,8,10,109643,1,2,3,0,0,0,0,0,0,0, , , ,0,1,1,0,0,.5605, ,3,10,3,1, , , , , , , , ,3,3,1,1,0,0,0,2,1,1,0, , , , , , , , , , , ,1,0,1,1, , , ,1,1,0,0,0
SUR,Suriname,5,8,10,558368,1,2,3,0,0,0,0,0,0,3,1, , ,0,2,1,0,0,.5154,-.287855585785114,3,9,3,1, , , , , , , , ,3,3,1,1,0,0,0,2,1,1,0, , , , , , , , , , , ,1,0,1,1, , , ,1,1,0,1,0
SWE,Sweden,2,2,1,9923085,1,2,0,1,1,1,1,1,1,4,1,2,1,1,0,3,1,0,.9365,-.0284922182887438,4,16,4,1,1,3,4,0,0,1,0,1,46,17,1,2,2,1,1,3,3,1,1,7,6, , ,2,1,2, ,4,4,1,0,0,1,1,1,1,1,1,1,1,1,1
CHE,Switzerland,2,2,23,8373338,1,2,0,1,1,1,1,1,1,4,1,2,1,1,0,3,1,0,.8907,-.0502685476842929,4,15,4,1,1,3,4,0,0,1,0,1,32,4,1,2,2,1,0,2,3,1,1, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,1
 ,"Taiwan, China",7,7,8,23780452,1,2,0,1,1,1,1,1,1,4,1, , , , , , , , , , , ,4,1, , , , , , , , ,6,3,1,1,1,0,0,2,1,1,0,0,0,3,4,0,0,0, , , , ,1,0,1,1, ,0, ,1, ,0,1,1
TJK,Tajikistan,2,2,30,8734951,1,2,3,0,0,0,0,0,0,2,0,1,0,0,2,1,0,0,.4649,-.332640453816913,2,8,2,0,0,1,2,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , ,1,1,0,1,1,1,0,1,1,1,1,1,0
TZA,Tanzania,4,4,16,55572201,1,2,3,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,.4206,-.376130731649698,2,7,2,0,0,1,1,0,0,0,1,0,4,0,0,0,1,0,0,0,1,0,0, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,0
THA,Thailand,7,7,7,68863514,1,2,0,1,1,1,1,1,0,1,0,2,1,1,1,2,0,1,.7565,-.121191067640795,4,13,3,1,1,2,3,0,1,0,0,1,14,5,1,2,2,1,1,2,2,1,1, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,1
TGO,Togo,4,4,22,7606374,1,2,3,0,0,0,0,0,0,3,1,1,0,0,2,0,0,0,.4302,-.366329593948556,2,7,1,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,2,0, , , ,1,1,0,1,1,1,1,1,1,1,1,1,0
TON,Tonga,7,7,28,107122,1,2,3,0,0,0,0,0,0,0, , , ,0,1,1,0,0,.5616,-.250572900878251,3,10,3,1, , , , , , , , ,3,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , , ,1,0,1,1, , , ,1,1,0,0,0
TTO,Trinidad and Tobago,5,8,10,1364962,1,2,3,0,0,0,0,0,0,3,1,1,1,1,1,2,0,1,.6785,-.168450148004244,3,11,4,1,0,2,2,1,0,0,1,0,4,3,1,1,1,0,0,2,1,1,0, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,0
TUN,Tunisia,3,3,26,11403248,1,2,3,0,0,0,0,0,0,3,1,1,0,0,1,1,0,0,.6526,-.185352930548144,3,11,2,0,0,2,2,1,0,0,1,0,8,0,0,0,1,1,0,0,2,0,1, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,0
TUR,Turkey,2,2,8,79512426,1,2,0,1,1,1,1,1,1,2,0,2,1,1,1,2,0,1,.7718,-.112495225764622,4,13,3,1,1,3,3,0,1,0,0,1,24,3,1,1,2,1,0,2,3,1,1, , , , , , , , , , ,1,1,0,1,1,1,0,1,1,1,1,1,1
UGA,Uganda,4,4,16,41487965,1,2,3,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,.4499,-.346884006834433,2,8,1,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,0
UKR,Ukraine,2,2,8,45004645,1,2,0,1,1,1,1,1,1,2,0,2,1,1,1,2,0,1,.7119,-.147581007062999,3,12,2,0,1,3,3,0,1,0,0,1,20,3,1,1,2,1,0,2,3,1,1,5,6, , ,2,1,0, , , ,1,1,0,1,1,1,0,1,1,1,1,1,1
ARE,United Arab Emirates,3,3,25,9269612,1,2,1,1,0,1,1,2,1,0, ,2,1,1,0,3,1,0,.8555,-.0677799861228809,4,15,4,1,1,2,3,0,1,0,0,1,4,2,1,1,1,0,0,1,1,0,0, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,0,1
GBR,United Kingdom,2,2,8,65595565,1,2,0,1,1,1,1,1,1,4,1,2,1,1,0,3,1,0,.9358,-.0288169591438386,4,16,4,1,1,3,4,0,0,1,0,1,38,15,1,2,2,1,1,3,3,1,1, , , , , , , , , , ,1,0,0,1,1,1,0,1,1,1,1,1,1
USA,United States,6,6,2,323405935,1,2,0,1,1,1,1,1,1,4,1,2,1,1,0,3,1,0,.9297,-.0316571690410546,4,16,4,1,1,3,4,0,0,1,0,1,14,12,1,2,2,1,1,3,2,1,1,7,6, , ,4,1,2, ,2,0,1,0,0,1,1,1,1,1,1,1,1,1,1
URY,Uruguay,5,5,4,3444006,1,2,0,1,1,1,1,1,1,4,1,2,1,1,0,3,1,0,.85,-.0705810742857073,4,15,4,1,1,2,3,0,1,0,0,1,8,0,0,0,1,1,0,0,2,0,1, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,1
VUT,Vanuatu,7,7,28,270402,1,2,3,0,0,0,0,0,0,3,1, , ,0,2,0,0,0,.4403,-.356251314540474,2,7,2,0, , , , , , , , ,3,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , , ,1,0,1,1, , , ,1,1,0,1,0
VEN,"Venezuela, RB",5,5,30,31568179,1,2,3,0,0,0,0,0,0,2,0,1,0,0,2,1,0,0,.5268,-.278354233710254,3,9, , ,0,2,2,1,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0, , , , , , , , , , ,1,1,0,1,0,1,0,1,0,1,1,1,0
VNM,Vietnam,7,7,7,94569072,1,2,3,0,0,0,0,0,0,1,0,2,1,0,1,1,0,0,.6667,-.176069544874436,3,11,2,0,1,2,3,0,1,0,0,1,15,6,1,2,2,1,1,2,2,1,1, , , , , , , , , , ,1,1,1,1,1,1,1,1,1,1,1,1,0
YEM,"Yemen, Rep.",3,3,26,27584213,1,2,3,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,.3045, ,2,5,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , ,1,1,0,1,1,1,1,1,1,1,1,1,0
ZMB,Zambia,4,4,16,16591390,1,2,3,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,.4242,-.372429335819457,2,7,2,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,5,1,1,0,2,0, , , ,1,1,0,1,1,1,1,1,1,1,1,1,0
ZWE,Zimbabwe,4,4,16,16150362,1,2,3,0,0,0,0,0,0,2,0,1,0,0,2,1,0,0,.5019,-.299382804317943,3,9,2,0,0,1,2,1,0,0,1,0,6,1,1,1,1,0,0,1,1,0,0,1,5,1,1,0,2,0, , , ,1,1,0,1,1,1,1,1,1,1,1,1,0
